layer,name,d_l_elements,payload_MB,acc_BSE_pct,acc_PABSE_pct,delta_pct,delay_s,energy_J,total_leakage_bits,feasible_BSE,feasible_PABSE
0,conv1_1,3211264,12.85,70.3,64.33,-5.97,5.0,1.092,3210964.7,True,True
1,relu1_1,3211264,12.85,70.3,65.73,-4.57,5.0,1.092,3210964.7,True,True
2,conv1_2,3211264,12.85,65.9,29.37,-36.53,5.0,1.388,3210964.7,True,True
3,relu1_2,3211264,12.85,65.9,36.1,-29.8,5.0,1.389,3210964.7,True,True
4,pool1,802816,3.21,70.3,68.17,-2.13,3.315,0.866,802741.2,True,True
5,conv2_1,1605632,6.42,70.3,59.97,-10.33,4.782,1.469,1605482.4,True,True
6,relu2_1,1605632,6.42,70.3,69.9,-0.4,4.782,1.47,1605482.4,True,True
7,conv2_2,1605632,6.42,70.3,17.97,-52.33,5.0,1.834,1605482.4,True,True
8,relu2_2,1605632,6.42,70.3,22.13,-48.17,5.0,1.834,1605482.4,True,True
9,pool2,401408,1.61,70.3,66.53,-3.77,3.614,1.404,401370.6,True,True
10,conv3_1,802816,3.21,70.3,43.57,-26.73,4.495,1.826,802741.2,True,True
11,relu3_1,802816,3.21,70.3,67.87,-2.43,4.495,1.826,802741.2,True,True
12,conv3_2,802816,3.21,70.3,37.6,-32.7,5.0,2.279,802741.2,True,True
13,relu3_2,802816,3.21,70.3,67.2,-3.1,5.0,2.279,802741.2,True,True
14,conv3_3,802816,3.21,61.6,6.83,-54.77,5.0,2.576,802741.2,True,True
15,relu3_3,802816,3.21,61.6,24.67,-36.93,5.0,2.576,802741.2,True,True
16,conv3_4,802816,3.21,0.1,0.33,0.23,5.091,2.901,802741.2,False,False
17,relu3_4,802816,3.21,0.1,0.0,-0.1,5.092,2.901,802741.2,False,False
18,pool3,200704,0.8,0.2,0.27,0.07,5.092,2.901,200685.3,False,False
19,conv4_1,401408,1.61,1.1,0.0,-1.1,5.386,3.141,401370.6,False,False
20,relu4_1,401408,1.61,1.1,0.7,-0.4,5.386,3.141,401370.6,False,False
21,conv4_2,401408,1.61,0.9,0.4,-0.5,5.976,3.62,401370.6,False,False
22,relu4_2,401408,1.61,0.9,0.57,-0.33,5.976,3.62,401370.6,False,False
23,conv4_3,401408,1.61,2.1,0.3,-1.8,6.565,4.1,401370.6,False,False
24,relu4_3,401408,1.61,2.1,0.6,-1.5,6.566,4.1,401370.6,False,False
25,conv4_4,401408,1.61,1.5,0.27,-1.23,7.155,4.579,401370.6,False,False
26,relu4_4,401408,1.61,1.5,0.93,-0.57,7.155,4.579,401370.6,False,False
27,pool4,100352,0.4,1.5,0.87,-0.63,7.155,4.579,100342.6,False,False
28,conv5_1,100352,0.4,2.0,0.6,-1.4,7.303,4.699,100342.6,False,False
29,relu5_1,100352,0.4,2.0,1.5,-0.5,7.303,4.699,100342.6,False,False
30,conv5_2,100352,0.4,3.5,0.93,-2.57,7.45,4.819,100342.6,False,False
31,relu5_2,100352,0.4,3.5,2.63,-0.87,7.45,4.819,100342.6,False,False
32,conv5_3,100352,0.4,3.1,1.07,-2.03,7.597,4.939,100342.6,False,False
33,relu5_3,100352,0.4,3.1,2.4,-0.7,7.597,4.939,100342.6,False,False
34,conv5_4,100352,0.4,3.2,1.93,-1.27,7.745,5.059,100342.6,False,False
35,relu5_4,100352,0.4,3.2,1.73,-1.47,7.745,5.059,100342.6,False,False
36,pool5,25088,0.1,3.2,3.2,0.0,7.745,5.059,25085.7,False,False
