eps_bar,layer,name,sigma,power,acc_pct,sigma_floor
0.25,13,relu3_2,1.6357,0.302,63.97,1.5538
0.4,13,relu3_2,1.3929,0.302,65.37,1.1616
0.5,6,relu2_1,1.0286,0.2535,66.47,1.0
0.6,6,relu2_1,0.9071,0.2535,67.87,0.8779
0.75,6,relu2_1,0.7857,0.2535,68.8,0.7395
0.9,6,relu2_1,0.6643,0.2535,69.77,0.6347
1.0,6,relu2_1,0.6643,0.2535,69.77,0.5774
1.25,6,relu2_1,0.5429,0.2535,70.03,0.4634
1.5,6,relu2_1,0.5429,0.2535,70.03,0.378
2.0,4,pool1,0.3,0.1081,70.07,0.2582
2.5,4,pool1,0.3,0.1081,70.07,0.1796
3.0,4,pool1,0.3,0.1081,70.07,0.126
