layer,name,type,best_acc_pct,sigma,power
6,relu2_1,relu,69.77,0.6643,0.2535
4,pool1,pool,67.73,0.6643,0.1081
11,relu3_1,relu,67.63,0.6643,0.1848
13,relu3_2,relu,67.3,0.6643,0.302
3,relu1_2,relu,66.2,0.6643,0.5
1,relu1_1,relu,66.0,0.6643,0.399
9,pool2,pool,65.9,0.6643,0.1
0,conv1_1,conv,65.13,0.6643,0.399
2,conv1_2,conv,63.03,0.6643,0.5
5,conv2_1,conv,59.57,0.6643,0.2535
8,relu2_2,relu,57.6,0.6643,0.3384
7,conv2_2,conv,46.3,0.6643,0.3384
10,conv3_1,conv,42.53,0.6643,0.1848
15,relu3_3,relu,42.53,0.6643,0.399
12,conv3_2,conv,35.97,0.6643,0.302
14,conv3_3,conv,14.5,0.6643,0.399
