split_layer,drop_rate,accuracy
0,0.0,0.703
0,0.05,0.696
0,0.1,0.692
0,0.15,0.69
0,0.2,0.696
0,0.25,0.696
0,0.3,0.694
0,0.35,0.698
0,0.4,0.682
0,0.45,0.639
0,0.5,0.586
0,0.55,0.557
0,0.6,0.509
0,0.65,0.43
0,0.7,0.268
0,0.75,0.056
0,0.8,0.059
0,0.85,0.029
0,0.9,0.018
0,0.95,0.012
1,0.0,0.703
1,0.05,0.696
1,0.1,0.692
1,0.15,0.69
1,0.2,0.696
1,0.25,0.696
1,0.3,0.694
1,0.35,0.698
1,0.4,0.682
1,0.45,0.639
1,0.5,0.586
1,0.55,0.557
1,0.6,0.509
1,0.65,0.43
1,0.7,0.268
1,0.75,0.056
1,0.8,0.059
1,0.85,0.029
1,0.9,0.018
1,0.95,0.012
2,0.0,0.703
2,0.05,0.693
2,0.1,0.684
2,0.15,0.672
2,0.2,0.661
2,0.25,0.65
2,0.3,0.606
2,0.35,0.581
2,0.4,0.495
2,0.45,0.388
2,0.5,0.296
2,0.55,0.233
2,0.6,0.173
2,0.65,0.126
2,0.7,0.067
2,0.75,0.017
2,0.8,0.01
2,0.85,0.015
2,0.9,0.008
2,0.95,0.003
3,0.0,0.703
3,0.05,0.693
3,0.1,0.684
3,0.15,0.672
3,0.2,0.661
3,0.25,0.65
3,0.3,0.606
3,0.35,0.581
3,0.4,0.495
3,0.45,0.388
3,0.5,0.296
3,0.55,0.233
3,0.6,0.173
3,0.65,0.126
3,0.7,0.067
3,0.75,0.017
3,0.8,0.01
3,0.85,0.015
3,0.9,0.008
3,0.95,0.003
4,0.0,0.703
4,0.05,0.693
4,0.1,0.684
4,0.15,0.672
4,0.2,0.661
4,0.25,0.65
4,0.3,0.609
4,0.35,0.581
4,0.4,0.496
4,0.45,0.39
4,0.5,0.296
4,0.55,0.233
4,0.6,0.173
4,0.65,0.126
4,0.7,0.067
4,0.75,0.017
4,0.8,0.01
4,0.85,0.015
4,0.9,0.008
4,0.95,0.003
5,0.0,0.703
5,0.05,0.706
5,0.1,0.704
5,0.15,0.698
5,0.2,0.687
5,0.25,0.689
5,0.3,0.688
5,0.35,0.678
5,0.4,0.666
5,0.45,0.642
5,0.5,0.47
5,0.55,0.426
5,0.6,0.325
5,0.65,0.334
5,0.7,0.252
5,0.75,0.226
5,0.8,0.166
5,0.85,0.053
5,0.9,0.024
5,0.95,0.007
6,0.0,0.703
6,0.05,0.706
6,0.1,0.704
6,0.15,0.698
6,0.2,0.687
6,0.25,0.689
6,0.3,0.688
6,0.35,0.678
6,0.4,0.666
6,0.45,0.642
6,0.5,0.47
6,0.55,0.426
6,0.6,0.325
6,0.65,0.334
6,0.7,0.252
6,0.75,0.226
6,0.8,0.166
6,0.85,0.053
6,0.9,0.024
6,0.95,0.007
7,0.0,0.703
7,0.05,0.702
7,0.1,0.668
7,0.15,0.651
7,0.2,0.61
7,0.25,0.632
7,0.3,0.645
7,0.35,0.533
7,0.4,0.498
7,0.45,0.406
7,0.5,0.324
7,0.55,0.193
7,0.6,0.125
7,0.65,0.082
7,0.7,0.023
7,0.75,0.006
7,0.8,0.006
7,0.85,0.004
7,0.9,0.005
7,0.95,0.006
8,0.0,0.703
8,0.05,0.702
8,0.1,0.668
8,0.15,0.651
8,0.2,0.61
8,0.25,0.632
8,0.3,0.645
8,0.35,0.533
8,0.4,0.498
8,0.45,0.406
8,0.5,0.324
8,0.55,0.193
8,0.6,0.125
8,0.65,0.082
8,0.7,0.023
8,0.75,0.006
8,0.8,0.006
8,0.85,0.004
8,0.9,0.005
8,0.95,0.006
9,0.0,0.703
9,0.05,0.702
9,0.1,0.668
9,0.15,0.651
9,0.2,0.61
9,0.25,0.632
9,0.3,0.645
9,0.35,0.535
9,0.4,0.497
9,0.45,0.406
9,0.5,0.324
9,0.55,0.193
9,0.6,0.125
9,0.65,0.083
9,0.7,0.023
9,0.75,0.006
9,0.8,0.006
9,0.85,0.004
9,0.9,0.005
9,0.95,0.006
10,0.0,0.703
10,0.05,0.7
10,0.1,0.7
10,0.15,0.679
10,0.2,0.685
10,0.25,0.668
10,0.3,0.665
10,0.35,0.636
10,0.4,0.612
10,0.45,0.585
10,0.5,0.556
10,0.55,0.518
10,0.6,0.457
10,0.65,0.328
10,0.7,0.249
10,0.75,0.124
10,0.8,0.091
10,0.85,0.034
10,0.9,0.013
10,0.95,0.006
11,0.0,0.703
11,0.05,0.7
11,0.1,0.7
11,0.15,0.679
11,0.2,0.685
11,0.25,0.668
11,0.3,0.665
11,0.35,0.636
11,0.4,0.612
11,0.45,0.585
11,0.5,0.556
11,0.55,0.518
11,0.6,0.457
11,0.65,0.328
11,0.7,0.249
11,0.75,0.124
11,0.8,0.091
11,0.85,0.034
11,0.9,0.013
11,0.95,0.006
12,0.0,0.703
12,0.05,0.704
12,0.1,0.697
12,0.15,0.69
12,0.2,0.673
12,0.25,0.666
12,0.3,0.655
12,0.35,0.639
12,0.4,0.616
12,0.45,0.586
12,0.5,0.544
12,0.55,0.476
12,0.6,0.39
12,0.65,0.293
12,0.7,0.271
12,0.75,0.186
12,0.8,0.105
12,0.85,0.026
12,0.9,0.006
12,0.95,0.002
13,0.0,0.703
13,0.05,0.704
13,0.1,0.697
13,0.15,0.69
13,0.2,0.673
13,0.25,0.666
13,0.3,0.655
13,0.35,0.639
13,0.4,0.616
13,0.45,0.586
13,0.5,0.544
13,0.55,0.476
13,0.6,0.39
13,0.65,0.293
13,0.7,0.271
13,0.75,0.186
13,0.8,0.105
13,0.85,0.026
13,0.9,0.006
13,0.95,0.002
14,0.0,0.703
14,0.05,0.698
14,0.1,0.705
14,0.15,0.688
14,0.2,0.682
14,0.25,0.669
14,0.3,0.649
14,0.35,0.625
14,0.4,0.61
14,0.45,0.58
14,0.5,0.583
14,0.55,0.508
14,0.6,0.433
14,0.65,0.37
14,0.7,0.23
14,0.75,0.06
14,0.8,0.058
