split_layer,drop_rate,sigma,accuracy
0,0.0,0.0,0.703
0,0.19,0.0,0.695
0,0.38,0.0,0.694
0,0.57,0.0,0.543
0,0.76,0.0,0.047
0,0.95,0.0,0.012
0,0.0,0.3,0.6906666666666667
0,0.19,0.3,0.6816666666666666
0,0.38,0.3,0.6656666666666667
0,0.57,0.3,0.4726666666666666
0,0.76,0.3,0.035333333333333335
0,0.95,0.3,0.008666666666666668
0,0.0,0.4214,0.6796666666666668
0,0.19,0.4214,0.6656666666666667
0,0.38,0.4214,0.646
0,0.57,0.4214,0.43133333333333335
0,0.76,0.4214,0.028333333333333332
0,0.95,0.4214,0.006333333333333333
0,0.0,0.5429,0.666
0,0.19,0.5429,0.652
0,0.38,0.5429,0.6323333333333333
0,0.57,0.5429,0.399
0,0.76,0.5429,0.018666666666666665
0,0.95,0.5429,0.004333333333333334
0,0.0,0.6643,0.6513333333333334
0,0.19,0.6643,0.636
0,0.38,0.6643,0.6106666666666666
0,0.57,0.6643,0.349
0,0.76,0.6643,0.015666666666666666
0,0.95,0.6643,0.004666666666666667
0,0.0,0.7857,0.6436666666666667
0,0.19,0.7857,0.629
0,0.38,0.7857,0.5976666666666666
0,0.57,0.7857,0.31066666666666665
0,0.76,0.7857,0.011333333333333334
0,0.95,0.7857,0.004666666666666667
0,0.0,0.9071,0.631
0,0.19,0.9071,0.609
0,0.38,0.9071,0.5786666666666666
0,0.57,0.9071,0.275
0,0.76,0.9071,0.008333333333333333
0,0.95,0.9071,0.005
0,0.0,1.0286,0.6156666666666667
0,0.19,1.0286,0.598
0,0.38,1.0286,0.568
0,0.57,1.0286,0.24533333333333332
0,0.76,1.0286,0.006666666666666667
0,0.95,1.0286,0.004333333333333334
0,0.0,1.15,0.601
0,0.19,1.15,0.5806666666666667
0,0.38,1.15,0.5466666666666667
0,0.57,1.15,0.21333333333333335
0,0.76,1.15,0.006666666666666667
0,0.95,1.15,0.004333333333333334
0,0.0,1.2714,0.5796666666666667
0,0.19,1.2714,0.5619999999999999
0,0.38,1.2714,0.527
0,0.57,1.2714,0.18066666666666667
0,0.76,1.2714,0.005
0,0.95,1.2714,0.004666666666666667
0,0.0,1.3929,0.5539999999999999
0,0.19,1.3929,0.5373333333333333
0,0.38,1.3929,0.5113333333333334
0,0.57,1.3929,0.146
0,0.76,1.3929,0.0036666666666666666
0,0.95,1.3929,0.005
0,0.0,1.5143,0.5336666666666666
0,0.19,1.5143,0.5146666666666667
0,0.38,1.5143,0.4956666666666667
0,0.57,1.5143,0.12266666666666666
0,0.76,1.5143,0.0013333333333333333
0,0.95,1.5143,0.005666666666666667
0,0.0,1.6357,0.506
0,0.19,1.6357,0.4789999999999999
0,0.38,1.6357,0.4663333333333333
0,0.57,1.6357,0.102
0,0.76,1.6357,0.001
0,0.95,1.6357,0.005
0,0.0,1.7571,0.48533333333333334
0,0.19,1.7571,0.459
0,0.38,1.7571,0.442
0,0.57,1.7571,0.085
0,0.76,1.7571,0.002
0,0.95,1.7571,0.004666666666666667
0,0.0,1.8786,0.4466666666666667
0,0.19,1.8786,0.43
0,0.38,1.8786,0.42133333333333334
0,0.57,1.8786,0.069
0,0.76,1.8786,0.0006666666666666666
0,0.95,1.8786,0.005
0,0.0,2.0,0.419
0,0.19,2.0,0.41033333333333327
0,0.38,2.0,0.39666666666666667
0,0.57,2.0,0.05366666666666667
0,0.76,2.0,0.0016666666666666668
0,0.95,2.0,0.004666666666666667
1,0.0,0.0,0.703
1,0.19,0.0,0.695
1,0.38,0.0,0.694
1,0.57,0.0,0.543
1,0.76,0.0,0.047
1,0.95,0.0,0.012
1,0.0,0.3,0.693
1,0.19,0.3,0.6843333333333333
1,0.38,0.3,0.672
1,0.57,0.3,0.47433333333333333
1,0.76,0.3,0.036333333333333336
1,0.95,0.3,0.010333333333333333
1,0.0,0.4214,0.6796666666666668
1,0.19,0.4214,0.6703333333333333
1,0.38,0.4214,0.659
1,0.57,0.4214,0.436
1,0.76,0.4214,0.028999999999999998
1,0.95,0.4214,0.009333333333333332
1,0.0,0.5429,0.678
1,0.19,0.5429,0.6573333333333334
1,0.38,0.5429,0.6443333333333334
1,0.57,0.5429,0.4036666666666666
1,0.76,0.5429,0.02
1,0.95,0.5429,0.006000000000000001
1,0.0,0.6643,0.66
1,0.19,0.6643,0.6476666666666667
1,0.38,0.6643,0.617
1,0.57,0.6643,0.36566666666666664
1,0.76,0.6643,0.014
1,0.95,0.6643,0.004
1,0.0,0.7857,0.6456666666666667
1,0.19,0.7857,0.631
1,0.38,0.7857,0.6023333333333333
1,0.57,0.7857,0.33266666666666667
1,0.76,0.7857,0.009333333333333332
1,0.95,0.7857,0.0036666666666666666
1,0.0,0.9071,0.633
1,0.19,0.9071,0.609
1,0.38,0.9071,0.5916666666666667
1,0.57,0.9071,0.3033333333333333
1,0.76,0.9071,0.008666666666666668
1,0.95,0.9071,0.0036666666666666666
1,0.0,1.0286,0.6063333333333333
1,0.19,1.0286,0.5903333333333333
1,0.38,1.0286,0.5623333333333332
1,0.57,1.0286,0.265
1,0.76,1.0286,0.004666666666666667
1,0.95,1.0286,0.0036666666666666666
1,0.0,1.15,0.5830000000000001
1,0.19,1.15,0.56
1,0.38,1.15,0.5383333333333334
1,0.57,1.15,0.2316666666666667
1,0.76,1.15,0.004333333333333334
1,0.95,1.15,0.004
1,0.0,1.2714,0.5623333333333332
1,0.19,1.2714,0.5363333333333333
1,0.38,1.2714,0.5196666666666667
1,0.57,1.2714,0.19600000000000004
1,0.76,1.2714,0.0023333333333333335
1,0.95,1.2714,0.004333333333333334
1,0.0,1.3929,0.531
1,0.19,1.3929,0.502
1,0.38,1.3929,0.4746666666666666
1,0.57,1.3929,0.156
1,0.76,1.3929,0.0033333333333333335
1,0.95,1.3929,0.0030000000000000005
1,0.0,1.5143,0.5063333333333334
1,0.19,1.5143,0.47300000000000003
1,0.38,1.5143,0.44533333333333336
1,0.57,1.5143,0.13
1,0.76,1.5143,0.0030000000000000005
1,0.95,1.5143,0.002
1,0.0,1.6357,0.47500000000000003
1,0.19,1.6357,0.442
1,0.38,1.6357,0.4096666666666667
1,0.57,1.6357,0.107
1,0.76,1.6357,0.0033333333333333335
1,0.95,1.6357,0.0023333333333333335
1,0.0,1.7571,0.4423333333333333
1,0.19,1.7571,0.3983333333333334
1,0.38,1.7571,0.37166666666666665
1,0.57,1.7571,0.08533333333333333
1,0.76,1.7571,0.0030000000000000005
1,0.95,1.7571,0.002
1,0.0,1.8786,0.41100000000000003
1,0.19,1.8786,0.36066666666666664
1,0.38,1.8786,0.3333333333333333
1,0.57,1.8786,0.07166666666666667
1,0.76,1.8786,0.004333333333333334
1,0.95,1.8786,0.0016666666666666668
1,0.0,2.0,0.363
1,0.19,2.0,0.3293333333333333
1,0.38,2.0,0.3093333333333333
1,0.57,2.0,0.05566666666666667
1,0.76,2.0,0.0016666666666666668
1,0.95,2.0,0.0030000000000000005
2,0.0,0.0,0.703
2,0.19,0.0,0.659
2,0.38,0.0,0.532
2,0.57,0.0,0.253
2,0.76,0.0,0.017
2,0.95,0.0,0.003
2,0.0,0.3,0.6749999999999999
2,0.19,0.3,0.6056666666666666
2,0.38,0.3,0.39766666666666667
2,0.57,0.3,0.10033333333333334
2,0.76,0.3,0.007666666666666666
2,0.95,0.3,0.002
2,0.0,0.4214,0.662
2,0.19,0.4214,0.5630000000000001
2,0.38,0.4214,0.35600000000000004
2,0.57,0.4214,0.06833333333333334
2,0.76,0.4214,0.008
2,0.95,0.4214,0.0013333333333333333
2,0.0,0.5429,0.6476666666666667
2,0.19,0.5429,0.5353333333333333
2,0.38,0.5429,0.3116666666666667
2,0.57,0.5429,0.051666666666666666
2,0.76,0.5429,0.005
2,0.95,0.5429,0.0016666666666666668
2,0.0,0.6643,0.6303333333333333
2,0.19,0.6643,0.5026666666666667
2,0.38,0.6643,0.26233333333333336
2,0.57,0.6643,0.037333333333333336
2,0.76,0.6643,0.0026666666666666666
2,0.95,0.6643,0.001
2,0.0,0.7857,0.612
2,0.19,0.7857,0.466
2,0.38,0.7857,0.214
2,0.57,0.7857,0.028999999999999998
2,0.76,0.7857,0.0026666666666666666
2,0.95,0.7857,0.0013333333333333333
2,0.0,0.9071,0.5843333333333333
2,0.19,0.9071,0.424
2,0.38,0.9071,0.17666666666666667
2,0.57,0.9071,0.018333333333333333
2,0.76,0.9071,0.002
2,0.95,0.9071,0.002
2,0.0,1.0286,0.5546666666666668
2,0.19,1.0286,0.38066666666666665
2,0.38,1.0286,0.145
2,0.57,1.0286,0.011000000000000001
2,0.76,1.0286,0.0023333333333333335
2,0.95,1.0286,0.002
2,0.0,1.15,0.501
2,0.19,1.15,0.34099999999999997
2,0.38,1.15,0.118
2,0.57,1.15,0.007333333333333334
2,0.76,1.15,0.0023333333333333335
2,0.95,1.15,0.002
2,0.0,1.2714,0.459
2,0.19,1.2714,0.2996666666666667
2,0.38,1.2714,0.09866666666666668
2,0.57,1.2714,0.006666666666666667
2,0.76,1.2714,0.0016666666666666668
2,0.95,1.2714,0.002
2,0.0,1.3929,0.39766666666666667
2,0.19,1.3929,0.265
2,0.38,1.3929,0.079
2,0.57,1.3929,0.004
2,0.76,1.3929,0.002
2,0.95,1.3929,0.002
2,0.0,1.5143,0.33066666666666666
2,0.19,1.5143,0.22266666666666668
2,0.38,1.5143,0.06
2,0.57,1.5143,0.005333333333333333
2,0.76,1.5143,0.0016666666666666668
2,0.95,1.5143,0.002
2,0.0,1.6357,0.26
2,0.19,1.6357,0.16966666666666666
2,0.38,1.6357,0.04666666666666667
2,0.57,1.6357,0.0033333333333333335
2,0.76,1.6357,0.002
2,0.95,1.6357,0.0016666666666666668
2,0.0,1.7571,0.19866666666666669
2,0.19,1.7571,0.13533333333333333
2,0.38,1.7571,0.03933333333333334
2,0.57,1.7571,0.0030000000000000005
2,0.76,1.7571,0.0016666666666666668
2,0.95,1.7571,0.0016666666666666668
2,0.0,1.8786,0.1423333333333333
2,0.19,1.8786,0.10166666666666667
2,0.38,1.8786,0.03166666666666667
2,0.57,1.8786,0.0033333333333333335
2,0.76,1.8786,0.0013333333333333333
2,0.95,1.8786,0.0013333333333333333
2,0.0,2.0,0.10266666666666668
2,0.19,2.0,0.07666666666666666
2,0.38,2.0,0.022333333333333334
2,0.57,2.0,0.002
2,0.76,2.0,0.001
2,0.95,2.0,0.0013333333333333333
3,0.0,0.0,0.703
3,0.19,0.0,0.659
3,0.38,0.0,0.532
3,0.57,0.0,0.253
3,0.76,0.0,0.017
3,0.95,0.0,0.003
3,0.0,0.3,0.7003333333333334
3,0.19,0.3,0.634
3,0.38,0.3,0.4586666666666667
3,0.57,0.3,0.15966666666666665
3,0.76,0.3,0.007
3,0.95,0.3,0.002
3,0.0,0.4214,0.6956666666666665
3,0.19,0.4214,0.614
