layer,name,type,d_l,delay_s,energy_J,resource_feasible,acc_noisy_pct
0,conv1_1,conv,3211264,5.0,1.057,True,64.33
1,relu1_1,relu,3211264,5.0,1.057,True,65.73
2,conv1_2,conv,3211264,5.0,1.36,True,29.37
3,relu1_2,relu,3211264,5.0,1.36,True,36.1
4,pool1,pool,802816,3.347,0.864,True,68.17
5,conv2_1,conv,1605632,4.845,1.465,True,59.97
6,relu2_1,relu,1605632,4.845,1.465,True,69.9
7,conv2_2,conv,1605632,5.0,1.814,True,17.97
8,relu2_2,relu,1605632,5.0,1.814,True,22.13
9,pool2,pool,401408,3.63,1.403,True,66.53
10,conv3_1,conv,802816,4.526,1.823,True,43.57
11,relu3_1,relu,802816,4.526,1.823,True,67.87
12,conv3_2,conv,802816,5.0,2.268,True,25.63
13,relu3_2,relu,802816,5.0,2.268,True,59.2
14,conv3_3,conv,802816,5.0,2.571,True,6.83
15,relu3_3,relu,802816,5.0,2.571,True,24.67
16,conv3_4,conv,802816,5.091,2.901,False,0.33
17,relu3_4,relu,802816,5.092,2.901,False,0.0
18,pool3,pool,200704,5.092,2.901,False,0.27
19,conv4_1,conv,401408,5.386,3.141,False,0.0
20,relu4_1,relu,401408,5.386,3.141,False,0.7
21,conv4_2,conv,401408,5.976,3.62,False,0.4
22,relu4_2,relu,401408,5.976,3.62,False,0.57
23,conv4_3,conv,401408,6.565,4.1,False,0.3
24,relu4_3,relu,401408,6.566,4.1,False,0.6
25,conv4_4,conv,401408,7.155,4.579,False,0.27
26,relu4_4,relu,401408,7.155,4.579,False,0.93
27,pool4,pool,100352,7.155,4.579,False,0.87
28,conv5_1,conv,100352,7.303,4.699,False,0.6
29,relu5_1,relu,100352,7.303,4.699,False,1.5
30,conv5_2,conv,100352,7.45,4.819,False,0.93
31,relu5_2,relu,100352,7.45,4.819,False,2.63
32,conv5_3,conv,100352,7.597,4.939,False,1.07
33,relu5_3,relu,100352,7.597,4.939,False,2.4
34,conv5_4,conv,100352,7.745,5.059,False,1.93
35,relu5_4,relu,100352,7.745,5.059,False,1.73
36,pool5,pool,25088,7.745,5.059,False,3.2
