eps_bar,layer,name,sigma,power,acc_pct,sigma_floor
0.25,13,relu3_2,1.5935,0.302,63.57,1.5538
0.4,13,relu3_2,1.1871,0.302,65.97,1.1616
0.5,13,relu3_2,1.1871,0.302,65.97,1.0
0.6,6,relu2_1,0.9838,0.2495,66.6,0.8779
0.75,6,relu2_1,0.7806,0.2495,69.27,0.7395
0.9,6,relu2_1,0.7806,0.2495,69.27,0.6347
1.0,6,relu2_1,0.5774,0.2495,69.9,0.5774
1.25,6,relu2_1,0.5774,0.2495,69.9,0.4634
1.5,6,relu2_1,0.5774,0.2495,69.9,0.378
2.0,6,relu2_1,0.5774,0.2495,69.9,0.2582
2.5,6,relu2_1,0.5774,0.2495,69.9,0.1796
3.0,6,relu2_1,0.5774,0.2495,69.9,0.126
