split_layer,name,type,out_shape,elements,D_bits,flops,cum_flops_device,cum_flops_server
0,conv1_1,Conv2d,"(64, 224, 224)",3211264,102760448,173408256,173408256,38859831808
1,relu1_1,ReLU,"(64, 224, 224)",3211264,102760448,3211264,176619520,38856620544
2,conv1_2,Conv2d,"(64, 224, 224)",3211264,102760448,3699376128,3875995648,35157244416
3,relu1_2,ReLU,"(64, 224, 224)",3211264,102760448,3211264,3879206912,35154033152
4,pool1,MaxPool2d,"(64, 112, 112)",802816,25690112,802816,3880009728,35153230336
5,conv2_1,Conv2d,"(128, 112, 112)",1605632,51380224,1849688064,5729697792,33303542272
6,relu2_1,ReLU,"(128, 112, 112)",1605632,51380224,1605632,5731303424,33301936640
7,conv2_2,Conv2d,"(128, 112, 112)",1605632,51380224,3699376128,9430679552,29602560512
8,relu2_2,ReLU,"(128, 112, 112)",1605632,51380224,1605632,9432285184,29600954880
9,pool2,MaxPool2d,"(128, 56, 56)",401408,12845056,401408,9432686592,29600553472
10,conv3_1,Conv2d,"(256, 56, 56)",802816,25690112,1849688064,11282374656,27750865408
11,relu3_1,ReLU,"(256, 56, 56)",802816,25690112,802816,11283177472,27750062592
12,conv3_2,Conv2d,"(256, 56, 56)",802816,25690112,3699376128,14982553600,24050686464
13,relu3_2,ReLU,"(256, 56, 56)",802816,25690112,802816,14983356416,24049883648
14,conv3_3,Conv2d,"(256, 56, 56)",802816,25690112,3699376128,18682732544,20350507520
15,relu3_3,ReLU,"(256, 56, 56)",802816,25690112,802816,18683535360,20349704704
16,conv3_4,Conv2d,"(256, 56, 56)",802816,25690112,3699376128,22382911488,16650328576
17,relu3_4,ReLU,"(256, 56, 56)",802816,25690112,802816,22383714304,16649525760
18,pool3,MaxPool2d,"(256, 28, 28)",200704,6422528,200704,22383915008,16649325056
19,conv4_1,Conv2d,"(512, 28, 28)",401408,12845056,1849688064,24233603072,14799636992
20,relu4_1,ReLU,"(512, 28, 28)",401408,12845056,401408,24234004480,14799235584
21,conv4_2,Conv2d,"(512, 28, 28)",401408,12845056,3699376128,27933380608,11099859456
22,relu4_2,ReLU,"(512, 28, 28)",401408,12845056,401408,27933782016,11099458048
23,conv4_3,Conv2d,"(512, 28, 28)",401408,12845056,3699376128,31633158144,7400081920
24,relu4_3,ReLU,"(512, 28, 28)",401408,12845056,401408,31633559552,7399680512
25,conv4_4,Conv2d,"(512, 28, 28)",401408,12845056,3699376128,35332935680,3700304384
26,relu4_4,ReLU,"(512, 28, 28)",401408,12845056,401408,35333337088,3699902976
27,pool4,MaxPool2d,"(512, 14, 14)",100352,3211264,100352,35333437440,3699802624
28,conv5_1,Conv2d,"(512, 14, 14)",100352,3211264,924844032,36258281472,2774958592
29,relu5_1,ReLU,"(512, 14, 14)",100352,3211264,100352,36258381824,2774858240
30,conv5_2,Conv2d,"(512, 14, 14)",100352,3211264,924844032,37183225856,1850014208
31,relu5_2,ReLU,"(512, 14, 14)",100352,3211264,100352,37183326208,1849913856
32,conv5_3,Conv2d,"(512, 14, 14)",100352,3211264,924844032,38108170240,925069824
33,relu5_3,ReLU,"(512, 14, 14)",100352,3211264,100352,38108270592,924969472
34,conv5_4,Conv2d,"(512, 14, 14)",100352,3211264,924844032,39033114624,125440
35,relu5_4,ReLU,"(512, 14, 14)",100352,3211264,100352,39033214976,25088
36,pool5,MaxPool2d,"(512, 7, 7)",25088,802816,25088,39033240064,0
